,Date,UserName,Location,stars,Message
17,7/31/2017,Jeremy B.,birmingham,4,This tasty  popsicle shop is located in the Summit outlet mall off of HWY 280. There's multiple locations throughout the metro area. It's a great spot to chill on hot southern summer day. There's a variety of creamy & fruity popsicle flavors to select from. I prefer the creamy popsicles since I'm a big lover of ice cream. My go to is the chocolate popsicle that has a brownie in the middle. It's amazing  & I know you'll love it! Now I discovered there's locations popping up in Hotlanta!
18,8/17/2017,Julie S.,birmingham,4,"If you're in the area looking for a cold treat, this is definitely a good stop.  Enjoyed our popsicles!  On the pricey side, as our total came to around $19 for the four of us."
19,3/25/2017,Shaquita Y.,birmingham,5,"Chocolate (creamy) is never a let down. Tastes like your favorite soft serve ice cream in popsicle form.Out of all the available flavors I've only tried chocolate and strawberry lemonade because I can't seem to try anything else because these are the best tasting things ever.  In a liquid form, I'm sure the strawberry lemonade would be the best lemonade in a cup."
20,1/5/2017,Benjamin Y.,birmingham,5,"It's about to snow but I drove to steel city pops to get some ice cream anyway. My fiancee and I were glad to see the open sign. Surprisingly, there were several people in/out of Steel City Pops. I guess I wasn't the only one. On this visit, we picked coffee and black sesame seed. They instantly became my favorite flavors. They were gone before you know it. I like Steel City Pops because they don't put any unhealthy ingredients and you can taste the goodness in every bite. Great for everyone - both kids and adults."
21,3/25/2017,Amanda B.,birmingham,4,"Always super friendly and of course great popsicles!!! Only downside, which I know some people like is the creamy popsicles like chocolate leave a film in your mouth. But easy too look past for me because the flavor is so good. Their fruit varieties don't seem to have this same effect.  Love the little bags they give when you buy several to go we have never had a problem with them starting to melt before we get them home and  in the freezer."
22,9/5/2016,Maggie K.,birmingham,4,"This place is located inside a plaza. Tried this place with couple of friends while in Birmingham...I dint know pops could be so flavorful with wired combinations. Some are fruity while others are creamy.I tried the buttermilk after I stood blank for almost five minutes, to choose one pop. Trust me the buttermilk one was so so good than the others. So creamy and dint taste like buttermilk, it was more of eating a frozen cheesecake. My friend got a mango, it was good too. Much on the fruity flavor side. My hubby got a guava, I dint like it much but was just okay after tasting buttermilk n mango.The store is a little cozy with a little outdoor space."
23,8/25/2016,Debbie C.,birmingham,4,"I didn't realize there was one at the Summit! Much easier to park, haha. It's larger than the one by Little Donkey and (I think...) this location has more seating. :) My family always requests for Pops when they visit from Miami.Keep up the great work!!"
24,6/20/2016,Paisley B.,birmingham,5,"Straight up gooood! On a hot summer day of course I had to get a Chocolate steel city pop. I don't know what I was expecting, but it didn't taste anything like it. Instead it was flat out luscious! What a neat texture. I mean, I am truly fascinated with this pop. It's not quite ice cream and not quite a popsicle...I guess that's why they call it a creamy pop. Cuz they have some 'chew' to them like a creamy, fudgy, frozen custard bar on a stick. Look. I'm just saying it was good! Chocolatey. Chewy. And good. Service is good too. The place is simple. Easy to walk in and out. So you can march on enjoying your treat like a bosslady. At $3 a pop go and get yourself one."
25,4/9/2017,Victoria T.,birmingham,5,"I can't rate anything less than 5 stars for this place. Not only are the popsicles made fresh, but the menu changes daily. You can literally never run out of flavors to try. The service is always super quick and friendly. I always ask a billion questions about the flavor choices and the staff is always very patient. I ended up ordering the blueberries and cream. It was yum! Pieces of blueberry in the pop so if your weird about textures you might want to get something a bit more creamy. Beware, the prices for a Popsicle are a bit steep, $3.50 to $4.50 depending on what you get. A bonus, they give you a freezer bag if you are getting a few to go, which is awesome."
26,6/26/2016,Cynthia L.,birmingham,5,"Delicious! We tried avocado, mind blowing, blood orange, super refreshing, strawberry lemonade, on point, & lavender lemonade, whata combo.You really can't go wrong here perfection on a stick."
27,3/14/2017,Sadia D.,birmingham,5,This place is a true gem! I have never been able to find good popsicles in Birmingham before but these really do the trick. My favorite is coconut but the guava is my go to when I'm calorie counting. They have so many great flavors that are always changing and are quite affordable at $3 each. It is nestled near the Carmike theater which makes it a great post movie snack.
28,8/9/2015,Gregory S.,birmingham,5,"Delicious popsicles at fair prices! Unique flavors that are fresh and natural. I like how some flavors have a fruity tang while others are more smooth and creamy. Either way, they hold up against the heat in that you won't get melted juices all over your hand...nice! A must visit."
29,5/8/2017,H K.,birmingham,5,"I love these popsicles! I haven't had a flavor that I didn't like. Buttercream, strawberry lemonade, and peanut butter are my favorites."
30,5/5/2015,Raj D.,birmingham,5,"This place is absolutely amazing. I tend to travel often to Birmingham and this is my first stop after landing. The store itself is rather small but there are some chairs and tables located outside. This place makes home-made organic popsicles that you can die for. They recently began making ""cookie"" pops made of icecream and either a brownie/cookie in the middle. You can get a cool freezer bag if you chose to take them home with you. Try the: mango habanero, avacado, cookie, papaya, pineapple habanero, COCONUT (my personal favorite), and the habiscus. Honestly, you cannot go wrong. The price is a bit high for a popsicle but this is far from your ordinary popsicle and absolutely worth the price. I WILL ABSOLUTELY BE BACK!!!"
31,7/23/2015,Katy P.,birmingham,4,"It's a store that specializes in Popsicles. POPSICLES! There are enough options to please everyone, plus they have the calorie count with the item name. There's fruity, creamy, even cookie Popsicles. I had the blueberry basil Popsicle and it was delicious. My only complaint is that it was full of blueberry skin chunks and I was chewing them constantly. The flip side of that is it means they use real, whole blueberries. I would rather have that than unnatural flavorings. I do wish they had seating inside since it feels like a million degrees outside and I was paranoid about my Popsicle melting! I definitely recommend this place if you are in the area! It won't disappoint."
32,3/3/2016,Pauline S.,birmingham,5,I would give this place 6 stars if I could! Think the best Popsicle you have ever had and than turn it up to 10!The coconut dipped in chocolate or the blueberry  basil... If it's hot get the buttermilk... Place and service is great! Plus- can't think of a gift to give that family member who has everything... They have family gift cards!
33,4/10/2016,Avriel F.,birmingham,5,"This is my new favorite place ever! They have an awesome mix of comforting, familiar flavors and funky ""never would've thought of that"" flavors. The creamy pops are my favorite, with the coconut being my #1 go-to indulgence every Friday evening after work. Also, all of the flavors are natural (without added dyes or preservatives, I believe), so it's a relatively healthy option. The young, upbeat staff and the rustic-style atmosphere adds to the overall experience. The shop is pretty small and doesn't offer much seating, but it just encourages you to enjoy your treat outdoors when the weather is nice. The staff is also really considerate, offering ice packs with your pops if you've got a longer distance commute. Really, stop by this wonderful place while you're stuck in 280's gridlock 5 o'clock traffic. It'll remove your headache, and add some enjoyment to the rest of your ride home :)"
34,4/16/2017,El L.,birmingham,5,I found this place randomly and it changed my life. This is the absolute best place on earth and live too far to go regularly. If you are near this place you must go!
35,12/5/2015,Dominique V.,birmingham,4,"Good, rich, unique flavors! I enjoy their seasonal pops very much. This particular trip I had the cinnamon apple pop. I could have been eating an apple pie for all my taste buds knew! My only reason for dinging them a star is that they put shavings if the fruit's skin in their fruity pops sometimes. I know that's nit picky of me, but I'd personally rather have the meat instead of the skin in my fruity pops. It may not be the case with very fruity pop. The atmosphere is great. They don't have a very big place to sit and eat, so we typically grab pops and go walk. It's great stop after a movie, or after a day of shopping in the Summit."
36,5/14/2016,Nadine E.,birmingham,5,It's in a strip mall but what a great idea! Officially obsessed. The sundae bars are a LOT to handle. great place with fresh pops!
37,12/12/2015,Cat A.,birmingham,5,"I am a fan! Every season when the flavors change, I have to try all the new ones. If you try a flavor you don't like, they'll switch it out for one you do like. I've only had one pop I didn't like there, but when I went to try and purchase a new pop instead of finishing that one, they wouldn't let me pay and just gave me a different flavor.This is really a gem in Birmingham and a must try for anyone living or visiting the area. It's a great end to a date or a day out or just because."
38,9/6/2015,Jessica M.,birmingham,5,"If you haven't had a Popsicle from here yet your crazy. With multiple locations and boths at many events you can't miss them. They have sweet, savory, creamy, and sometimes a mixture of two. My first was a pineapple jalapeño, and I was hooked. The fruit ones are good but the creamy ones are my favorite. Plus they have Popsicles with gluten free brownies in them, Amazing! Coffee is what I get most. Then today I saw banana pudding and I melted. The kicker is that these little delights are made from natural and sometimes local ingredients. So I don't feel quiet to bad since this is more a healthy indulgence. Plus I can support local vendors at the same time. If I am ever eating at the summit I was save room for dessert, so I can go to steel city pops after."
39,2/22/2014,Heather B.,birmingham,5,"No doubt this is a popular spot, given there were only about 20 people outside the tiny storefront when I walked up. I really, REALLY wanted to try that Bacon bourbon molasses thing that has me intrigued, but alas, not on today's menu. I typically go for the fruity pops over the creamy ones, and I was gravitating towards the blood orange.... Until the pineapple  jalapeño spoke to my soul. The guy behind the counter jokefully asked me if I was sure that's what I wanted...I guess I must've ordered with authority. When I told him I was pretty sure, he offered to let me have a blood orange if I hated this one (hence five stars!). He didn't have to give me a free popsicle, I was beyond pleased with my choice! I'm sure I will come by here A LOT  this summer."
40,7/12/2015,Catesby D.,birmingham,4,Very good! I had the coffee and my brother had the chocolate. They were both very good. Had a variety of options and I appreciated that they had the calories listed for all of them.
41,8/24/2013,Ee Vonn Y.,birmingham,4,"$3 per popsicle but it's a novelty so what can you expect?I got the strawberry fig which had a sharp, distinct taste that I felt like I was almost eating soft frozen strawberries.It was that good. The service was prompt and quick. My person gave me good recommendations when I couldn't decide between pineapple jalapeno and strawberry fig. And I was glad I got what I picked. I wanted to share it with my friend but I didn't think she'd appreciate the drool."
42,10/16/2014,Brian H.,birmingham,5,"Sure, $3 a Popsicle is pricey, but where else are you going to find a Maple Bacon Bourbon Popsicle?I had never been here before, but had heard it was good.  Ended up getting 2 dozen pops, each a different flavor.  The service was great in helping us pick flavors, and they packed them in a foam cooler/box with some ice packs to make sure we got home without them melting.Overall, the quality of the pops is great.  Some flavors we didn't like as much (sweet potato pecan we felt had an undesirable ""frozen mashed potato"" texture), but we were big fans of ones like Cherry Sour Cream.It was a nice treat, and if we lived in the area, I'm sure we'd be in for a pop from time to time."
43,8/21/2016,Lisa F.,birmingham,5,Awesome Popsicle!  I had the buttermilk..........which takes just like cheesecake!  Yummy!
44,6/27/2016,W D.,birmingham,5,What a wonderful selection of unique flavor a! So far every one I've tried has been amazing! Most are gluten and allergen free!
45,8/4/2013,Lacy W.,birmingham,3,"I've been 3 times. There are pros and cons:PROS: Most of the flavors I've tried are good.          If you don't like a flavor, (I couldn't even eat the raspberry because there were so many seeds) they will GIVE you another flavor of your choice.          Plenty of flavors to choose from.CONS: Only three benches outside to sit And on weekends it's always crazy crowded.             The popsicle sticks are not long enough at all. Very hard to hold with only a little one inch piece of the stick at the bottom. Especially for kids. You either end up dropping it or making a big mess.             High prices for a popsicle. I know the ingredients used are good, expensive ones, but it's just more than I want to pay for a popsicle. You can make the same things at home for a lot less."
46,12/23/2015,Harry L.,birmingham,5,"A wonderful quick stop to get delicious pops to drench your thirst at any time, especially on weekends when visiting Birmingham. Don't forget a cooler to bring some extra home."
47,6/12/2014,Lily L.,birmingham,5,Holy bananas these are amazing! Today was our first stop in after being recommended by a local. It was love at first bite with the coconut and the vanilla bean. Both were equally creamy and delicious. The coconut has has toasted shreds towards the base of the Popsicle which gave it a little something extra. Next I'm trying the avocado sweetened slightly with sugar and lime. Please bring these to Arizona!!
48,6/17/2013,Caleigh R.,birmingham,4,"Had the chocolate pb tonight---very good, but melted very quickly.  My friend had raspberry lemon and we shared. Good combo to go back and forth with. I hope the do strawberry balsamic again soon!:)"
49,7/5/2013,Garrett I.,birmingham,2,"I have only been here once but so far, I dont know what the hype is.  It tasted like a to popsicle like the one I got out of an Eddy's box from the grocery store.  I listened to reviews and got the most popular one (strawberry balsamic).  I will give it another try to try to understand the hype.  Have I experienced a better popsicle store...no.  BUT, there are plenty of better places to drop $4 on a quick sweet treat."
50,2/14/2014,Lauren S.,birmingham,5,Best dessert place  in town. Great service. They catered my wedding an did a great job!
51,6/23/2013,Amber G.,birmingham,3,"Love the unique flavors!  The buttermilk is awesome, but my fave is the peanut butter.  I do prefer the Homewood location.  It's a bit crowded at this branch.  And do be very careful parking.  Parents are not always watching their children, and kids tend not to watch out for cars.  There are only benches to sit on along the walls, and you can bet that some mom with a couple unruly kids will be taking up the entire stretch of sitting."
52,6/29/2014,Amy J.,birmingham,3,The manager at the local Jim'N Nick's Bar-B-Que recommended Steel City Pops and we're glad she did. The popsicles were a bit pricey but delicious. I especially liked my Cherry Sour Cream popsicle and the place is clearly popular because it was very crowded!
53,"8/13/2013
            





Updated review",Darleen O.,birmingham,4,"This is a rewrite for the management team at Steel City Pops.  In this day and age when most businesses rely on social network feeds, its great to know that Steel City Pops cares enough about their product and brand to reach out.  Received a response from Andrea who was more than gracious with her response.  KUDOS to Andrea.  With that being said, I will take her suggestion and return on my own to perhaps try the buttermilk. I am more than willing to give this establishment another try as its refreshing to know Steel City Pops TRULY does care about their customer's experience."
54,6/15/2015,Andy M.,huntsville,4,"I thought my creamy Coconut popsicle was excellent.  However, my wife said she liked her Chocolate pop even better.  I'm actually inclined to give the whole place five stars, but that might set your expectations way too high, as the only menu items are gourmet frozen pops and bottled water.  I wonder what they do in cold weather.   Our frozen pops were an even $3 each, tax included.   Try this new place quickly, before all the kids find it.  I expect it will become very popular during hot summer afternoons and evenings."
55,4/8/2017,Kelly S.,huntsville,2,"I stopped by here in the evening on the fourth of April 2017 and the shop was empty with a single employee that was less than excited that I'd walked in. I'd seen photos online and was under the impression you could have the pops dipped in chocolate, etc. but I'd never been here and didn't know. I said, ""Hi. How does this work, with the flavors and coatings and such?""  She pointed to the menu and said, ""We have milk based and we have fruit based"".  Then she leaned in the counter and waited for me to speak. I picked a single flavor and I left. I did not get (or ask about) toppings or coatings because I assumed I'd confused what I'd seen online. She was less than welcoming so I had no desire to remain inside. After departing I realized I didn't confuse what you could get. Unfortunately, while the popsicle was really good, the service was lackadaisical and a real turnoff. If I'm in Huntsville I would try it again but employees need to exude a demeanor that doesn't say, ""Why are you here, you're nothing me."""
56,2/27/2017,Laura H.,huntsville,4,Wow! This place is fantastic! My friend brought me here when I came to visit! I love to eat ice cream year round.  And I can customize how and what I want on it! So I got the coffee with milk chocolate. Next time I will be adding some other stuff to it...Best idea since sliced bread. Seriously you have to check it out!
57,6/3/2017,Crystal H.,huntsville,3,Great pops but the two ladies behind the counter were eating and drinking and fixing their hair all while waiting on customers.
58,7/10/2016,Jennifer S.,huntsville,2,"The popsicles here are amazing, but the customer service I've received the three times I've been here have just been plain rude. I understand if someone's having a bad day and aren't the friendliest, but it's different story when you walk in and feel seemingly un-welcomed from the two girls who work the cash register. I usually never write reviews, this is actually my first time, but I just feel like I had to say something."
59,11/9/2015,Cheri W.,huntsville,5,"Oh my goodness.....we went to a lot of trouble to find them as our mapping software had them in an opposite area of the outdoor mall, but we are SOOOO glad we persevered in our quest for a gluten-free organic dessert.  They have fruity or creamy options and the staff recommended ""Buttermilk"" flavor.  I have died and gone to heaven.  He said that is by far their most popular flavor.  Described it as tasting like cheesecake- I disagree and say it tastes like heavenly buttermilk pie.   HEAVENLY I tell you.  We walked to our car and had to go back for more as our hotel has a refrigerator.   Gotta love that!.  Purchased a 4-pack and saved $1. To -go bag is lined with foil and has a freezer pack inside. Perfect. So don't hesitate getting more to go.  Buttermilk was 228 calories while I saw the most was 340 calories (Butter Pecan)I believe.  You won't be sorry- give it a try soon!!!"
60,6/24/2016,Zach S.,huntsville,5,"Very good pops! I went here today with two other people, and they were very pleased, too! It was a nice break from the hot, summer day! The chocolate pop was super creamy and great! I would recommend this place to anyone! Super cute interior...Very unique!"
61,10/16/2015,Ken D.,huntsville,1,"I received an unsolicited email after I made a purchase from them despite never providing my email address.  I can only assume my credit card information was somehow used to mine my personal information.It's a breech of privacy, and I would not recommend support of any business who utilizes these businesses practices."
62,7/9/2015,Sarah J.,huntsville,4,"So glad we have one of these in Huntsville! The best one I've had so far is the cantaloupe...truly delicious! I've had the coffee, too, which has coffee grounds in a thin layer on the top (don't expect something extremely sweet, though). Very good, pretty clean. Wish they had more of a selection though!"
63,8/10/2015,Britni C.,huntsville,5,strawberry & passionfruit are my fav! come while it is still hot outside! definitely a thirst quencher!
64,9/16/2015,S S.,huntsville,5,Best pops I've ever had! Definitely a must if you are at Bridge Street! If I could have these pops every single day I would. The coconut is amazing.
65,4/4/2015,Lisa H.,auburn,5,"Typed letters on a glowing screen cannot express how giddy I am over the new Steel City Pops location in Auburn. Huzzah! I've gone to the Homewood location a zillion times, just call me a SCP devotee. The Auburn outpost just opened yesterday, as it turns out.The mango pop has sort of been my white whale. I've tried to get it before on several occasions and have been thwarted every time. Always sold out. Today I finally got to try it, and it definitely lived up to my expectations. A taste of the tropics on the Plains.I love how there are several rotating fruity and creamy flavor options to choose from. Out of the current offerings, I highly recommend blackberry, mango, avocado, and buttermilk. Each pop costs three bucks.This location is pretty small with very limited seating, and I saw a lot of folks strolling around downtown, happily slurping on their frozen desserts. I actually ended up getting my pops to go, and the employees will put your pops into a special bag with an ice pack, perfect!I didn't get to ask, but it appears that the pops are imported from the Homewood location. I'm looking forward to trying the cookie pops in the future. Be sure to pick up a punch card; buy 10 pops and your 11th is free!"
66,9/2/2017,Robyn L.,auburn,2,"Atlanta pop-up cart, The Shops Buckhead Atlanta- very disappointed.  Last time I purchased a Strawberry Lemonade, which as very good by the way, they were $3.  Now, they are $3.75. Boo!Maybe my last Pop.."
67,7/28/2017,Sarah N.,auburn,4,"I love cold desserts in any shape or form so this place is really special to me. I like that they have more than just a typical vanilla, chocolate, or fudge popsicle. They truly have quite the array and the menu is constantly changing. They have the calories for each popsicle written down underneath which for someone who likes to watch what they're eating I really appreciate it. But don't want to deter you from one of their delicious cookie pops, the cookies and cream and brownie ones are amazing."
68,9/18/2016,William W.,auburn,4,"There are better popsicles in various spots throughout America, but when you're heading to an Auburn game and trying to beat the heat, these dynamic flavors hit the spot and tantalize the tongue.With bold combinations and clever ingredients, a menu covering all the standard flavors coexists with such daring ingredients as curry, basil, hibiscus and smoked fig, tastes you would have never imagined in a frozen treat.The lime and strawberry lemonade versions are my favorite so far, and I'm obsessed with anything root beer flavored but Steel City Pops hasn't perfectly mastered it (pretty good though). The peach cream wasn't amazing, but you practically can't go wrong here. Especially when the weather is hot!"
69,6/17/2016,Courtney B.,auburn,5,"I absolutely love that SCP has a brick and mortar location here! Every pop I've ever had been delicious, but my favorite will always been the blood orange."
70,3/5/2016,Brooke S.,auburn,5,It's all about the Buttermilk Popsicle.  It's the best.  They also just got an espresso machine and I really like their espresso.
71,4/16/2015,Will P.,auburn,4,"I tried the Chocolate and Brownie pop and it was badass, but for $4.5...honestly I can't imagine anyone justifying $4 for one of those. Not a price fan, but definitely am a pop fan."
72,8/8/2017,Beth E.,tuscaloosa,5,"Being a vegan in the south, I love when I have options. Steel City Pops makes many fruity selections for a vegan, but they also have a dairy free ""creamy"" option..avocado! It tastes almost like key lime pie. I am obsessed. Also, if you don't like your first choice of the pop you ordered, they are very accommodating about letting you choose another one."
73,5/2/2017,Rae K.,tuscaloosa,4,"It's in downtown Tuscaloosa it's a little out of my way to come visit. Though as they say, it's a treat. I absolutely love that Steel City Pops is a store dedicated to popsicles. Legit a store that gets that I don't want ice cream or yogurt. Especially moving from Hawaii and ""traveling"" cities away for the best shaved ice. I digress.I've been to the company two times. This specific establishment once. Had the honeydew popsicle... a 'meh' in my book. It was the actual fruit and sugar that had a battle for my tastebuds. I will visit again, so keep doing your thing."
74,9/12/2017,Grace T.,tuscaloosa,4,"I didn't expect to love this as much as I did. I had a chocolate one, and it was perfectly creamy and absolutely made my day! If you live in Tuscaloosa or are just visiting, don't miss this place."
75,3/27/2017,Elizabeth M.,tuscaloosa,5,"Great place to grab a cold treat! My favorite are the cookie pops with a bona fide cookie in the middle! Delicious! I have also had a Blueberry Basil which was not good and tasted like straight up grass but I blame myself. The menu is full of great options! We stopped here to grab a quick treat for the road, and it was so good we stopped on the way back as well! Very good!"
76,2/20/2017,Haven M.,tuscaloosa,5,I know that they are really good and bursting with fruit flavor. They pops are the best I ever had.
77,8/12/2016,Madison H.,tuscaloosa,5,"First of all this place is a hidden gem which I think most people know about. It was delicious and they had a flavor for people who don't like the fruit thing. The workers were extremely kind and knew exactly what they were taking about. Overall very refreshing on a hot Alabama day and a nice price to it cost about 11 dollars for 4 pops. We got the Pineapple, Strawberry Lemonade (overall favorite), Peach, and Coffee (which is coffee ice cream in pop form with caffeine)."
78,4/14/2016,Alex G.,tuscaloosa,5,Yum! Creative and delicious Popsicles . I like these better than any fro-yo or ice cream I've found in Tuscaloosa
79,6/9/2016,Mo F.,tuscaloosa,5,"Tuscaloosa is really lacking in the ice cream department, but SCP really hits that spot. There are lots of creative flavors to try, like lavender lemonade and jasmine green tea. Some classics you can't go wrong with--coconut, buttermilk, avocado, black cherry sour cream....They also have espresso drinks with Octane coffee."
80,6/18/2016,Vincent F.,tuscaloosa,4,Amazing. My brother and I were in town to take care of family business and on our last night we wanted to check out the college campus and stumbled into this gem. What a great idea! Homemade popsicles!! I got the Amaretto Cream and the Coffee. My brother got Cantaloupe and Strawberry Shortcake. We almost turned around once we finished all 4. We weren't that far away since we ate them so fast.
81,3/30/2016,Savannah B.,tuscaloosa,5,"This is a favorite summertime stop for my family.  As a former Midwesterner I consider March through October or so summer, so we make frequent stops here.  I haven't had a flavor I disliked.  Everything is delicious."
82,1/31/2015,Robin R.,tuscaloosa,5,"I have never had a pop here that I haven't enjoyed. I've tried coffee, strawberry balsamic, buttermilk, & avocado. They now offer any flavor dipped in chocolate. Love this place!"
83,10/23/2015,Jack K.,tuscaloosa,5,My first time there. I'm in town for work and a co worker saw it on a food search. We thought we would try it for dessert. It was AWESOME. We plan on going again tomorrow. It was that good. I just wish there was one by where I live.
84,12/18/2013,Megan O.,tuscaloosa,4,"Last time I came home for a visit, mom and I stopped by for a popsicle. I love popsicles but don't eat them too much.The shop is sleek, clean and located downtown just a few blocks down from Mellow Mushroom. They have several (it seemed like at least 30) flavors written on a huge chalkboard behind the register. Some are fruity and some are more creamy/savory. I chose the Orange Mint Tea and I think mom got Coffee. I liked my pop but thought the mint flavor could've been a little stronger. I also tried my mom's and it was especially yummy.I went to the location in Homewood later in the week and tried the Buttermilk flavor. I was really unsure of how it would taste but holy wow was it good. It sort of tasted like cake batter. I would definitely order that one again.I can see myself coming here on all my future trips home. If gourmet popsicles are a new food trend, I can get down with that."
85,12/17/2013,Jason B.,tuscaloosa,4,"Tried these for the first time last week. I had the wassail (it is close to Christmas) and MC had coconut dipped in chocolate.  Both were very good.  Friendly and helpful staff to boot.Admit it,  you are either saying, ""What the H is Wassail?!""  or you are singing ""Here we come a wassailing""  and cursing me for getting it stuck in your head.  -  I'm good like that."
